Year,Crop_bu_ac,Crop_kg_ha
1980,82,5147.14
1981,133,8348.41
1982,144,9038.88
1983,89,5586.53
1984,128,8034.56
1985,154,9666.58
1986,144,9038.88
1987,154,9666.58
1988,85,5335.45
1989,136,8536.72
1990,138,8662.26
1991,88,5523.76
1992,169,10608.13
1993,141,8850.57
1994,161,10105.97
1995,102,6402.54
1996,147,9227.19
1997,140,8787.8
1998,140,8787.8
1999,166,10419.82
2000,145,9101.65
2001,153,9603.81
2002,142,8913.34
2003,185,11612.45
2004,181,11361.37
2005,164,10294.28
2006,180,11298.6
2007,188,11800.76
2008,176,11047.52
2009,190,11926.3
2010,169.5,10639.515
2011,164.1,10300.557
2012,108.9,6835.653
2013,168.1,10551.637
2014,216.5,13589.705
2015,189.4,11888.638
